[06/12/17 22:44:34] 10 Sec, Wait 
[06/12/17 22:49:29] = LOOP 18
[06/12/17 22:49:31] = LOOP 19
[06/12/17 22:49:32] = LOOP 25
[06/12/17 22:49:33] = LOOP 16
[06/12/17 22:49:34] = LOOP 20
[06/12/17 22:49:35] = LOOP 16
[06/12/17 22:49:36] = LOOP 20
[06/12/17 22:49:37] = LOOP 20
[06/12/17 22:49:38] = LOOP 24
[06/12/17 22:49:39] = LOOP 23
[06/12/17 22:49:40] = LOOP 21
[06/12/17 22:49:42] = LOOP 28
[06/12/17 22:49:43] = LOOP 26
[06/12/17 22:49:44] = LOOP 27
[06/12/17 22:49:45] = LOOP 23
[06/12/17 22:49:46] = LOOP 25
[06/12/17 22:49:47] = LOOP 20
[06/12/17 22:49:48] = LOOP 19
[06/12/17 22:49:49] = LOOP 16
[06/12/17 22:49:50] = LOOP 16
[06/12/17 22:49:51] = LOOP 16
[06/12/17 22:49:52] = LOOP 25
[06/12/17 22:49:53] = LOOP 30
[06/12/17 22:49:54] = LOOP 24
[06/12/17 22:49:55] = LOOP 29
[06/12/17 22:49:56] = LOOP 17
[06/12/17 22:49:57] = LOOP 19
[06/12/17 22:49:59] = LOOP 25
[06/12/17 22:50:00] = LOOP 23
[06/12/17 22:50:01] = LOOP 16
[06/12/17 22:50:02] = LOOP 31
[06/12/17 22:50:03] = LOOP 20
[06/12/17 22:50:04] = LOOP 24
[06/12/17 22:50:05] = LOOP 18
[06/12/17 22:50:06] = LOOP 16
[06/12/17 22:50:07] = LOOP 20
[06/12/17 22:50:08] = LOOP 19
[06/12/17 22:50:09] = LOOP 20
[06/12/17 22:50:10] = LOOP 20
[06/12/17 22:50:11] = LOOP 25
[06/12/17 22:50:12] = LOOP 20
[06/12/17 22:50:13] = LOOP 30
[06/12/17 22:50:15] = LOOP 30
[06/12/17 22:50:16] = LOOP 20
[06/12/17 22:50:17] = LOOP 20
[06/12/17 22:50:18] = LOOP 24
[06/12/17 22:50:19] = LOOP 26
[06/12/17 22:50:20] = LOOP 28
[06/12/17 22:50:21] = LOOP 31
[06/12/17 22:50:22] = LOOP 16
[06/12/17 22:50:23] = LOOP 19
[06/12/17 22:50:24] = LOOP 20
[06/12/17 22:50:25] = LOOP 20
[06/12/17 22:50:27] = LOOP 21
[06/12/17 22:50:28] = LOOP 20
[06/12/17 22:50:29] = LOOP 17
[06/12/17 22:50:30] = LOOP 17
[06/12/17 22:50:31] = LOOP 22
[06/12/17 22:50:32] = LOOP 23
[06/12/17 22:50:33] = LOOP 29
[06/12/17 22:50:34] = LOOP 18
[06/12/17 22:50:35] = LOOP 21
[06/12/17 22:50:36] = LOOP 31
[06/12/17 22:50:37] = LOOP 20
[06/12/17 22:50:38] = LOOP 26
[06/12/17 22:50:39] = LOOP 17
[06/12/17 22:50:40] = LOOP 19
[06/12/17 22:50:41] = LOOP 24
[06/12/17 22:50:43] = LOOP 16
[06/12/17 22:50:44] = LOOP 19
[06/12/17 22:50:45] = LOOP 20
[06/12/17 22:50:46] = LOOP 31
[06/12/17 22:50:47] = LOOP 18
[06/12/17 22:50:48] = LOOP 23
[06/12/17 22:50:49] = LOOP 17
[06/12/17 22:50:50] = LOOP 16
[06/12/17 22:50:51] = LOOP 23
[06/12/17 22:50:52] = LOOP 30
[06/12/17 22:50:53] = LOOP 16
[06/12/17 22:50:54] = LOOP 26
[06/12/17 22:50:55] = LOOP 20
[06/12/17 22:50:56] = LOOP 16
[06/12/17 22:50:57] = LOOP 23
[06/12/17 22:50:58] = LOOP 16
[06/12/17 22:51:00] = LOOP 20
[06/12/17 22:51:01] = LOOP 20
[06/12/17 22:51:02] = LOOP 16
[06/12/17 22:51:03] = LOOP 27
[06/12/17 22:51:04] = LOOP 28
[06/12/17 22:51:05] = LOOP 21
[06/12/17 22:51:06] = LOOP 20
[06/12/17 22:51:07] = LOOP 24
[06/12/17 22:51:08] = LOOP 21
[06/12/17 22:51:09] = LOOP 16
[06/12/17 22:51:10] = LOOP 24
[06/12/17 22:51:11] = LOOP 23
[06/12/17 22:51:12] = LOOP 28
[06/12/17 22:51:13] = LOOP 20
[06/12/17 22:51:14] = LOOP 24
[06/12/17 22:51:15] = LOOP 22
[06/12/17 22:51:16] = LOOP 20
[06/12/17 22:51:18] = LOOP 31
[06/12/17 22:51:19] = LOOP 27
[06/12/17 22:51:20] = LOOP 20
[06/12/17 22:51:21] = LOOP 32
[06/12/17 22:51:22] = LOOP 20
[06/12/17 22:51:23] = LOOP 16
[06/12/17 22:51:24] = LOOP 23
[06/12/17 22:51:25] = LOOP 21
[06/12/17 22:51:26] = LOOP 18
[06/12/17 22:51:27] = LOOP 18
[06/12/17 22:51:28] = LOOP 20
[06/12/17 22:51:29] = LOOP 21
[06/12/17 22:51:30] = LOOP 19
[06/12/17 22:51:31] = LOOP 16
[06/12/17 22:51:32] = LOOP 22
[06/12/17 22:51:33] = LOOP 20
[06/12/17 22:51:34] = LOOP 16
[06/12/17 22:51:36] = LOOP 25
[06/12/17 22:51:37] = LOOP 20
[06/12/17 22:51:38] = LOOP 21
[06/12/17 22:51:39] = LOOP 24
[06/12/17 22:51:40] = LOOP 23
[06/12/17 22:51:41] = LOOP 20
[06/12/17 22:51:42] = LOOP 20
[06/12/17 22:51:43] = LOOP 17
[06/12/17 22:51:44] = LOOP 16
[06/12/17 22:51:45] = LOOP 15
[06/12/17 22:51:46] = LOOP 21
[06/12/17 22:51:47] = LOOP 21
[06/12/17 22:51:48] = LOOP 19
[06/12/17 22:51:49] = LOOP 23
[06/12/17 22:51:50] = LOOP 30
[06/12/17 22:51:51] = LOOP 25
[06/12/17 22:51:53] = LOOP 21
[06/12/17 22:51:54] = LOOP 23
[06/12/17 22:51:55] = LOOP 21
[06/12/17 22:51:56] = LOOP 17
[06/12/17 22:51:57] = LOOP 17
[06/12/17 22:51:58] = LOOP 29
[06/12/17 22:51:59] = LOOP 23
[06/12/17 22:52:00] = LOOP 24
[06/12/17 22:52:01] = LOOP 27
[06/12/17 22:52:02] = LOOP 21
[06/12/17 22:52:03] = LOOP 20
[06/12/17 22:52:04] = LOOP 23
[06/12/17 22:52:05] = LOOP 26
[06/12/17 22:52:06] = LOOP 18
[06/12/17 22:52:07] = LOOP 16
[06/12/17 22:52:08] = LOOP 29
[06/12/17 22:52:09] = LOOP 19
[06/12/17 22:52:10] = LOOP 21
[06/12/17 22:52:11] = LOOP 20
[06/12/17 22:52:12] = LOOP 22
[06/12/17 22:52:14] = LOOP 22
[06/12/17 22:52:15] = LOOP 20
[06/12/17 22:52:16] = LOOP 25
[06/12/17 22:52:17] = LOOP 21
[06/12/17 22:52:18] = LOOP 26
[06/12/17 22:52:19] = LOOP 22
[06/12/17 22:52:20] = LOOP 21
[06/12/17 22:52:21] = LOOP 22
[06/12/17 22:52:22] = LOOP 22
[06/12/17 22:52:23] = LOOP 28
[06/12/17 22:52:24] = LOOP 25
[06/12/17 22:52:25] = LOOP 28
[06/12/17 22:52:26] = LOOP 20
[06/12/17 22:52:27] = LOOP 21
[06/12/17 22:52:28] = LOOP 16
[06/12/17 22:52:29] = LOOP 28
[06/12/17 22:52:30] = LOOP 24
[06/12/17 22:52:31] = LOOP 24
[06/12/17 22:52:32] = LOOP 19
[06/12/17 22:52:33] = LOOP 25
[06/12/17 22:52:34] = LOOP 19
[06/12/17 22:52:35] = LOOP 25
[06/12/17 22:52:36] = LOOP 21
